CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE
40424972,JACKIE'S WEST INDIAN BAKERY,Bronx,1203,EAST  233 STREET,10466
50060497,ORTZI RESTAURANT AND BAR LOCATED INSIDE LOUMA HOTEL,Manhattan,120,WEST   41 STREET,10036
40781412,GAUDIO'S PIZZERIA,Queens,40-13,30 AVENUE,11103
40708213,DELIAS LOUNGE CAFE,Brooklyn,9224,3 AVENUE,11209
50101961,MAMAS CHICKEN AND BURGERS,Manhattan,21,LENOX AVENUE,10026
50013184,LIANG PI WANG#10,Queens,133-35,ROOSEVELT AVENUE,11354
50008122,FOOD BO GARDEN RESTAURANT,Bronx,934C,EAST  163 STREET,10459
41066841,BXL CAFE,Manhattan,125,WEST   43 STREET,10036
50015771,MU RAMEN,Queens,12-09,JACKSON AVENUE,11101
40424418,TYME & PATIENCE BAKERY & GRILL,Brooklyn,2114,NOSTRAND AVENUE,11210
41672406,CHARLIE'S PIZZA,Manhattan,1501,ST NICHOLAS AVENUE,10033
41248529,ROUTE 66 CAFE,Manhattan,858,9 AVENUE,10019
41258880,CIBO EXPRESS GOURMET MARKET,Queens,,JFK INTERNATIONAL AIRPORT,11430
50006255,FOREST HILL STATION HOUSE,Queens,106-11,CONTINENTAL AVENUE,11375
50007392,TABOGA,Manhattan,421,WEST  202 STREET,10034
50086938,JAGERHAUS GASTROPUB,Queens,1516,149TH ST,11357
50006816,OAXACA TAQUERIA,Brooklyn,1116,BEDFORD AVENUE,11216
50009810,KUNG FU TEA,Queens,70-10,AUSTIN STREET,11375
50054801,HEART'S,Brooklyn,1207,BROADWAY,11221
50096186,GERIZIM BURGER FACTORY,Queens,13406,GUY R BREWER BLVD,11434
50089499,SUPREME CARIBBEAN AND AMERICAN CUISINE,Bronx,3634,WHITE PLAINS ROAD,10467
50093959,STARBUCKS,Manhattan,45,WEST    4 STREET,10012
50100226,ARBOR BISTRO,Manhattan,226,WEST HOUSTON STREET,10014
50001966,CONTRA,Manhattan,138,ORCHARD STREET,10002
