,alias,categories,coordinates,is_closed,location,name,rating,review_count,transactions,url,permanently closed,outdoor_seating,price_cat,delivery,restaurant_reservation,pickup,zip_code,latitude,longitude,total_restaurants_in_zip,Population Density,distance_to_subway
680,charlies-sandwich-shop-brooklyn,American (Casual),"{'latitude': 40.6189228122783, 'longitude': -74.0330025884411}",False,"{'address1': '9216 3rd Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11209', 'country': 'US', 'state': 'NY', 'display_address': ['9216 3rd Ave', 'Brooklyn, NY 11209']}",Charlie's Sandwich Shop,4.5,63,"['pickup', 'delivery']",https://www.yelp.com/biz/charlies-sandwich-shop-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,0,two,1,0,1,11209,40.6189228122783,-74.0330025884411,278.0,33569.8,0.24672093528282169
681,sita-thai-new-york,South Asian,"{'latitude': 40.82889, 'longitude': -73.94899}",False,"{'address1': '3609 Broadway Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10031', 'country': 'US', 'state': 'NY', 'display_address': ['3609 Broadway Ave', 'New York, NY 10031']}",SITA THAI,4.0,59,"['delivery', 'pickup']",https://www.yelp.com/biz/sita-thai-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,0,missing,1,0,1,10031,40.82889,-73.94899,127.0,90523.6,0.16845615281939808
682,double-dutch-espresso-new-york,Cafes,"{'latitude': 40.805824, 'longitude': -73.953964}",False,"{'address1': '2194 Frederick Douglass Blvd', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10026', 'country': 'US', 'state': 'NY', 'display_address': ['2194 Frederick Douglass Blvd', 'New York, NY 10026']}",Double Dutch Espresso,4.0,223,[],https://www.yelp.com/biz/double-dutch-espresso-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0,two,0,0,0,10026,40.805824,-73.953964,67.0,115461.7,0.09565373174391531
683,the-gold-room-brooklyn-2,Bars,"{'latitude': 40.66202, 'longitude': -73.95353}",False,"{'address1': '429 Rogers Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11225', 'country': 'US', 'state': 'NY', 'display_address': ['429 Rogers Ave', 'Brooklyn, NY 11225']}",The Gold Room,4.0,63,"['delivery', 'pickup']",https://www.yelp.com/biz/the-gold-room-brooklyn-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,0,1,11225,40.66202,-73.95353,146.0,67444.4,0.31232613521064256
684,carroll-gardens-classic-diner-brooklyn,Cafes,"{'latitude': 40.686393, 'longitude': -73.990371}",True,"{'address1': '155 Smith St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['155 Smith St', 'Brooklyn, NY 11201']}",Carroll Gardens Classic Diner,3.0,159,"['delivery', 'pickup']",https://www.yelp.com/biz/carroll-gardens-classic-diner-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0,two,1,0,1,11201,40.686393,-73.990371,467.0,39596.1,0.04373166288026921
685,harts-restaurant-brooklyn-2,American (New),"{'latitude': 40.681458, 'longitude': -73.955893}",False,"{'address1': '506 Franklin Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['506 Franklin Ave', 'Brooklyn, NY 11238']}",Hart's Restaurant,4.0,93,[],https://www.yelp.com/biz/harts-restaurant-brooklyn-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,0,three,0,0,0,11238,40.681458,-73.955893,271.0,46994.1,0.027498487279144137
686,south-slope-ramen-brooklyn,Japanese,"{'latitude': 40.662572, 'longitude': -73.991887}",False,"{'address1': '651 5th Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['651 5th Ave', 'Brooklyn, NY 11215']}",South Slope Ramen,4.0,58,"['delivery', 'pickup']",https://www.yelp.com/biz/south-slope-ramen-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,0,1,11215,40.662572,-73.991887,353.0,31902.9,0.13996041635917447
687,little-frog-bistro-and-bar-new-york,Bars,"{'latitude': 40.77722, 'longitude': -73.95092}",False,"{'address1': '322 E 86th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10028', 'country': 'US', 'state': 'NY', 'display_address': ['322 E 86th St', 'New York, NY 10028']}",Little Frog Bistro & Bar,4.0,202,"['pickup', 'delivery']",https://www.yelp.com/biz/little-frog-bistro-and-bar-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,0,three,1,0,1,10028,40.77722,-73.95092,208.0,146955.3,0.09664724940365418
688,the-drunken-munkey-ues-new-york,Bars,"{'latitude': 40.78098, 'longitude': -73.94751}",False,"{'address1': '338 E 92nd St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10128', 'country': 'US', 'state': 'NY', 'display_address': ['338 E 92nd St', 'New York, NY 10128']}",The Drunken Munkey - UES,4.5,1035,"['pickup', 'restaurant_reservation', 'delivery']",https://www.yelp.com/biz/the-drunken-munkey-ues-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,1,1,10128,40.78098,-73.94751,147.0,132677.4,0.11164330600747753
689,rolls-rice-flushing-6,Specialty Food,"{'latitude': 40.758369, 'longitude': -73.8297651}",False,"{'address1': '40-46 Main St', 'address2': None, 'address3': '', 'city': 'Flushing', 'zip_code': '11354', 'country': 'US', 'state': 'NY', 'display_address': ['40-46 Main St', 'Flushing, NY 11354']}",Rolls Rice,5.0,67,"['pickup', 'delivery']",https://www.yelp.com/biz/rolls-rice-flushing-6?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,0,missing,1,0,1,11354,40.758369,-73.8297651,504.0,25657.8,0.04817450168875292
